id,chipset,memory_gb,core_clock_mhz,boost_clock_mhz,length_mm,tdp,recommended_psu_watts,performance,product_fk
1,NVIDIA GeForce GT 1030,2,1266,1506,169,30,200,100,1690
2,NVIDIA GeForce GT 1030,2,1266,1506,173,30,200,100,1691
3,NVIDIA GeForce GT 1030,2,1278,1531,184,30,200,100,1692
4,NVIDIA GeForce GT 1030,2,1290,1544,145,30,200,100,1693
5,NVIDIA GeForce GT 1030,2,1290,1544,145,30,200,100,1694
6,NVIDIA GeForce GT 1030,2,1290,1544,168,30,200,100,1695
7,NVIDIA GeForce GT 1030,2,1227,1468,180,30,200,100,1696
8,NVIDIA GeForce GT 1030,2,1252,1506,150,30,200,100,1697
9,NVIDIA GeForce GT 1030,2,1290,1544,168,30,200,100,1698
10,NVIDIA GeForce GT 1030,2,1252,1506,175,30,200,100,1699
11,NVIDIA GeForce GT 1030,2,1265,1518,147,30,200,100,1700
12,NVIDIA GeForce GT 1030,2,1265,1518,159,30,200,100,1701
13,NVIDIA GeForce GT 1030,2,1265,1518,159,30,200,100,1702
14,NVIDIA GeForce GT 1030,2,1265,1518,153,30,200,100,1703
15,NVIDIA GeForce GT 1030,2,1265,1518,153,30,200,100,1704
16,NVIDIA GeForce GT 1030,2,1265,1518,147,30,200,100,1705
17,NVIDIA GeForce GT 1030,2,1227,1468,173,30,200,100,1706
18,NVIDIA GeForce GT 1030 DDR4,2,1189,1460,145,20,200,94,1707
19,NVIDIA GeForce GT 1030 DDR4,2,1151,1417,150,20,200,94,1708
20,NVIDIA GeForce GT 1030 DDR4,2,1189,1430,147,20,200,94,1709
21,NVIDIA GeForce GT 1030 DDR4,2,1189,1430,150,20,200,94,1710
22,NVIDIA GeForce GT 1030 DDR4,2,1189,1430,150,20,200,94,1711
23,NVIDIA GeForce GTX 1050,2,1404,1544,203,75,250,198,1712
24,NVIDIA GeForce GTX 1050,2,1404,1518,212,75,250,198,1713
25,NVIDIA GeForce GTX 1050,2,1404,1518,212,75,250,198,1714
26,NVIDIA GeForce GTX 1050,2,1442,1569,241,75,250,198,1715
27,NVIDIA GeForce GTX 1050,2,1354,1455,145,75,250,198,1716
28,NVIDIA GeForce GTX 1050,2,1442,1556,267,75,250,198,1717
29,NVIDIA GeForce GTX 1050,2,1417,1531,145,75,250,198,1718
30,NVIDIA GeForce GTX 1050,2,1430,1544,229,75,250,198,1719
31,NVIDIA GeForce GTX 1050,2,1354,1493,172,75,250,198,1720
32,NVIDIA GeForce GTX 1050,2,1417,1556,219,75,250,198,1721
33,NVIDIA GeForce GTX 1050,3,1392,1556,172,75,250,198,1722
34,NVIDIA GeForce GTX 1050,3,1417,1582,191,75,250,198,1723
35,NVIDIA GeForce GTX 1050,3,1404,1569,167,75,250,198,1724
36,NVIDIA GeForce GTX 1050,2,1379,1518,191,75,250,198,1725
37,NVIDIA GeForce GTX 1050,2,1366,1506,167,75,250,198,1726
38,NVIDIA GeForce GTX 1050,2,1354,1493,229,75,250,198,1727
39,NVIDIA GeForce GTX 1050,2,1392,1531,229,75,250,198,1728
40,NVIDIA GeForce GTX 1050,2,1354,1455,145,75,250,198,1729
41,NVIDIA GeForce GTX 1050,2,1354,1455,195,75,250,198,1730
42,NVIDIA GeForce GTX 1050,2,1366,1468,196,75,250,198,1731
43,NVIDIA GeForce GTX 1050,2,1404,1518,155,75,250,198,1732
44,NVIDIA GeForce GTX 1050,2,1354,1556,229,75,250,198,1733
45,NVIDIA GeForce GTX 1050,2,1354,1556,229,75,250,198,1734
46,NVIDIA GeForce GTX 1050,2,1404,1518,177,75,250,198,1735
47,NVIDIA GeForce GTX 1050,2,1354,1455,182,75,250,198,1736
48,NVIDIA GeForce GTX 1050,2,1404,1518,215,75,250,198,1737
49,NVIDIA GeForce GTX 1050,2,1354,1455,166,75,250,198,1738
50,NVIDIA GeForce GTX 1050,2,1354,1455,178,75,250,198,1739
51,NVIDIA GeForce GTX 1050,2,1354,1455,178,75,250,198,1740
52,NVIDIA GeForce GTX 1050,2,1354,1455,145,75,250,198,1741
53,NVIDIA GeForce GTX 1050,2,1354,1455,160,75,250,198,1742
54,NVIDIA GeForce GTX 1050 Ti,4,1341,1480,203,75,250,248,1743
55,NVIDIA GeForce GTX 1050 Ti,4,1290,1392,212,75,250,248,1744
56,NVIDIA GeForce GTX 1050 Ti,4,1341,1455,212,75,250,248,1745
57,NVIDIA GeForce GTX 1050 Ti,4,1303,1442,182,75,250,248,1746
58,NVIDIA GeForce GTX 1050 Ti,4,1290,1392,192,75,250,248,1747
59,NVIDIA GeForce GTX 1050 Ti,4,1379,1506,241,75,250,248,1748
60,NVIDIA GeForce GTX 1050 Ti,4,1290,1392,145,75,250,248,1749
61,NVIDIA GeForce GTX 1050 Ti,4,1379,1493,257,75,250,248,1750
62,NVIDIA GeForce GTX 1050 Ti,4,1354,1468,145,75,250,248,1751
63,NVIDIA GeForce GTX 1050 Ti,4,1366,1480,229,75,250,248,1752
64,NVIDIA GeForce GTX 1050 Ti,4,1303,1417,196,75,250,248,1753
65,NVIDIA GeForce GTX 1050 Ti,4,1366,1506,219,75,250,248,1754
66,NVIDIA GeForce GTX 1050 Ti,4,1290,1430,172,75,250,248,1755
67,NVIDIA GeForce GTX 1050 Ti,4,1341,1455,191,75,250,248,1756
68,NVIDIA GeForce GTX 1050 Ti,4,1328,1442,167,75,250,248,1757
69,NVIDIA GeForce GTX 1050 Ti,4,1354,1468,229,75,250,248,1758
70,NVIDIA GeForce GTX 1050 Ti,4,1290,1392,145,75,250,248,1759
71,NVIDIA GeForce GTX 1050 Ti,4,1290,1392,211,75,250,248,1760
72,NVIDIA GeForce GTX 1050 Ti,4,1290,1392,195,75,250,248,1761
73,NVIDIA GeForce GTX 1050 Ti,4,1303,1417,196,75,250,248,1762
74,NVIDIA GeForce GTX 1050 Ti,4,1341,1455,155,75,250,248,1763
75,NVIDIA GeForce GTX 1050 Ti,4,1290,1493,229,75,250,248,1764
76,NVIDIA GeForce GTX 1050 Ti,4,1290,1493,229,75,250,248,1765
77,NVIDIA GeForce GTX 1050 Ti,4,1341,1455,177,75,250,248,1766
78,NVIDIA GeForce GTX 1050 Ti,4,1290,1392,182,75,250,248,1767
79,NVIDIA GeForce GTX 1050 Ti,4,1341,1455,215,75,250,248,1768
80,NVIDIA GeForce GTX 1050 Ti,4,1366,1480,216,75,250,248,1769
