id,brand,name,price,quantity
1799,KFA2,EX,609.50,51
1800,MSI,AERO ITX OC,586.50,59
1801,MSI,GAMING X,563.50,1
1802,MSI,GT LP,546.25,11
1803,MSI,GT LP OC,580.75,23
1804,MSI,VENTUS XS OC,546.25,69
1805,Palit,Dual,609.50,72
1806,Palit,KalmX,598.00,86
1807,Palit,StormX OC,632.50,80
1808,PNY,XLR8 Gaming Overclocked Edition,632.50,17
1809,Zotac,GAMING Low Profile,592.25,39
1810,Zotac,GAMING OC,598.00,13
1811,Asus,Phoenix OC,667.80,49
1812,EVGA,SC ULTRA GAMING,680.40,95
1813,Gigabyte,D6 LP,674.10,46
1814,Gigabyte,D6 OC Rev 2.0,598.50,17
1815,Gigabyte,D6 Rev 2.0,642.60,42
1816,Gigabyte,EAGLE OC,636.30,41
1817,Gigabyte,OC Low Profile,611.10,48
1818,Gigabyte,WINDFORCE,667.80,90
1819,Gigabyte,WINDFORCE OC,648.90,22
1820,MSI,D6 AERO ITX OC,611.10,59
1821,MSI,D6 GAMING X,648.90,87
1822,MSI,D6 VENTUS XS OC,686.70,49
1823,Zotac,GAMING Low Profile,623.70,70
1824,Asus,Phoenix,735.00,99
1825,Asus,Phoenix OC,720.00,77
1826,Asus,STRIX GAMING,742.50,67
1827,Asus,STRIX GAMING Advanced,772.50,3
1828,Asus,STRIX GAMING OC,757.50,29
1829,Asus,TUF GAMING,825.00,75
1830,Asus,TUF GAMING OC,787.50,62
1831,EVGA,SC ULTRA GAMING,825.00,14
1832,GALAX,EX,720.00,100
1833,Gigabyte,OC,795.00,67
1834,Gigabyte,WINDFORCE OC,772.50,31
1835,Inno3D,Compact,742.50,55
1836,Inno3D,Twin X2 OC,720.00,47
1837,MSI,AERO ITX OC,757.50,95
1838,MSI,GAMING X,780.00,74
1839,MSI,VENTUS XS OC,765.00,44
1840,Palit,StormX OC,735.00,41
1841,PNY,VCG16504SSFPPB,802.50,30
1842,PNY,XLR8 Gaming Overclocked Edition,802.50,94
1843,Zotac,GAMING Twin Fan,712.50,75
1844,Asus,Phoenix Fan,885.10,47
1845,Asus,Phoenix OC,851.70,71
1846,Asus,TUF,893.45,57
1847,Asus,TUF GAMING OC,818.30,69
1848,Asus,TUF OC,793.25,58
1849,EVGA,BLACK GAMING,860.05,63
1850,EVGA,SC ULTRA GAMING,918.50,94
1851,EVGA,XC BLACK GAMING,818.30,1
1852,EVGA,XC GAMING,826.65,21
1853,EVGA,XC ULTRA BLACK GAMING,876.75,71
1854,EVGA,XC ULTRA GAMING,918.50,64
1855,Gainward,Ghost,901.80,3
1856,Gainward,Ghost OC,851.70,76
1857,Gainward,Pegasus,893.45,88
1858,Gainward,Pegasus OC,835.00,27
1859,GALAX,(1-click OC),843.35,47
1860,GALAX,EX,818.30,19
1861,GALAX,EX White,876.75,60
1862,Gigabyte,GAMING,876.75,24
1863,Gigabyte,GAMING OC,918.50,44
1864,Gigabyte,MINI ITX OC,793.25,91
1865,Gigabyte,OC,843.35,38
1866,KFA2,(1-Click OC),809.95,91
1867,KFA2,60SRH7MD01BK,809.95,83
1868,KFA2,EX,809.95,11
1869,KFA2,White MINI,901.80,43
1870,MSI,ARMOR OC,901.80,59
1871,MSI,GAMING X,901.80,89
1872,MSI,VENTUS XS OC,809.95,31
1873,Palit,StormX,818.30,29
1874,PNY,Blower,868.40,87
1875,PNY,XLR8 Gaming Overclocked Edition,835.00,75
1876,Zotac,GAMING,801.60,86
1877,Zotac,GAMING AMP,851.70,92
1878,Zotac,GAMING Twin Fan,885.10,16
1879,Asus,DUAL EVO OC,931.00,91
1880,Asus,DUAL MINI OC,1068.20,51
1881,Asus,Phoenix OC,970.20,15
1882,Asus,STRIX GAMING,1058.40,97
1883,Asus,STRIX GAMING Advanced,931.00,76
1884,Asus,STRIX GAMING OC,950.60,23
1885,Asus,TUF GAMING OC,980.00,52
1886,Asus,TUF Gaming X3 OC,950.60,81
1887,EVGA,BLACK GAMING,1038.80,75
1888,EVGA,SC Ultra Black,931.00,26
1889,EVGA,SC ULTRA GAMING,1009.40,85
1890,Gainward,Ghost,1078.00,51
1891,Gainward,Ghost OC,960.40,100
1892,Gainward,Pegasus,1058.40,11
1893,Gainward,Pegasus OC,989.80,27
1894,GALAX,EX,1068.20,29
1895,Gigabyte,GAMING,1029.00,10
1896,Gigabyte,GAMING OC,999.60,78
1897,Gigabyte,MINI ITX OC,931.00,57
1898,Gigabyte,OC,1078.00,68
1899,KFA2,(1-Click OC),980.00,25
1900,MSI,AERO ITX OC,1038.80,3
1901,MSI,GAMING X,1078.00,17
1902,MSI,VENTUS XS OC,1019.20,47
1903,Palit,GamingPro,1068.20,30
1904,Palit,GamingPro OC,1009.40,81
1905,Palit,StormX,940.80,31
1906,Palit,StormX OC,989.80,39
1907,PNY,Blower,970.20,34
1908,PNY,Dual,1029.00,88
1909,PNY,VCG16606SSFPPB,1009.40,23
1910,Zotac,GAMING AMP,980.00,14
1911,Zotac,GAMING Twin Fan,1058.40,79
1912,Asus,DUAL,1320.00,1
1913,Asus,DUAL OC,1140.00,78
1914,Asus,Phoenix,1284.00,39
1915,Asus,Phoenix OC,1176.00,46
1916,Asus,STRIX GAMING,1320.00,50
1917,Asus,STRIX GAMING Advanced,1224.00,79
1918,Asus,STRIX GAMING OC,1212.00,46
1919,Asus,TUF,1200.00,53
1920,Asus,TUF OC,1260.00,63
1921,EVGA,SC ULTRA GAMING,1296.00,62
1922,EVGA,XC BLACK GAMING,1248.00,38
1923,EVGA,XC GAMING,1188.00,18
1924,EVGA,XC ULTRA BLACK GAMING,1320.00,40
1925,EVGA,XC ULTRA GAMING,1152.00,85
1926,Gainward,Pegasus,1272.00,78
1927,Gainward,Pegasus OC,1284.00,84
1928,GALAX,(1-click OC),1224.00,61
1929,GALAX,EX,1308.00,8
1930,Gigabyte,AORUS,1308.00,95
1931,Gigabyte,GAMING OC,1164.00,12
1932,Gigabyte,MINI ITX,1248.00,63
1933,Gigabyte,MINI ITX OC,1152.00,31
1934,Gigabyte,OC,1164.00,61
1935,Gigabyte,WINDFORCE OC,1212.00,62
1936,Inno3D,Twin X2,1176.00,37
1937,KFA2,(1-Click OC),1284.00,17
1938,KFA2,EX,1152.00,43
1939,MSI,AERO ITX,1296.00,6
1940,MSI,AERO ITX OC,1188.00,74
1941,MSI,ARMOR,1236.00,44
1942,MSI,ARMOR OC,1296.00,55
1943,MSI,GAMING,1200.00,55
1944,MSI,GAMING X,1140.00,62
1945,MSI,VENTUS XS,1200.00,86
1946,MSI,VENTUS XS OC,1212.00,13
1947,Palit,StormX,1176.00,65
1948,Palit,StormX OC,1224.00,70
1949,PNY,Blower,1308.00,20
1950,PNY,XLR8 Gaming Overclocked Edition,1212.00,72
1951,Zotac,GAMING,1188.00,34
1952,Asus,DUAL,1458.60,34
1953,Asus,DUAL Advanced,1544.40,8
1954,Asus,DUAL EVO Advanced,1430.00,23
1955,Asus,DUAL EVO OC,1444.30,30
1956,Asus,DUAL MINI OC,1358.50,8
1957,Asus,DUAL OC,1501.50,27
1958,Asus,Phoenix Fan,1573.00,56
1959,Asus,STRIX GAMING,1372.80,68
1960,Asus,STRIX GAMING Advanced,1501.50,56
1961,Asus,STRIX GAMING OC,1444.30,90
1962,Asus,TUF OC,1387.10,88
1963,Asus,Turbo,1372.80,59
1964,EVGA,GAMING,1573.00,65
1965,EVGA,KO GAMING,1401.40,26
1966,EVGA,KO ULTRA GAMING,1530.10,42
1967,EVGA,SC GAMING,1515.80,16
1968,EVGA,SC ULTRA GAMING,1515.80,25
1969,EVGA,XC BLACK GAMING,1501.50,4
1970,EVGA,XC GAMING,1487.20,68
1971,EVGA,XC ULTRA BLACK GAMING,1444.30,53
1972,EVGA,XC ULTRA GAMING,1472.90,38
1973,Gainward,Phoenix,1372.80,58
1974,Gainward,Phoenix GS,1372.80,57
1975,GALAX,26NRL7HPX7OC,1530.10,20
1976,GALAX,60NRJ7DSX1PO,1472.90,72
1977,GALAX,EX White,1415.70,25
1978,Gigabyte,AORUS XTREME,1544.40,28
1979,Gigabyte,D6 Rev 2.0,1444.30,61
1980,Gigabyte,GAMING OC,1530.10,31
1981,Gigabyte,GAMING OC PRO,1487.20,50
1982,Gigabyte,GAMING OC PRO Rev 2.0,1515.80,77
1983,Gigabyte,GAMING OC PRO WHITE,1558.70,86
1984,Gigabyte,MINI ITX OC,1387.10,37
1985,Gigabyte,MINI ITX OC Rev 2.0,1401.40,44
1986,Gigabyte,MINI ITX Rev 2.0,1415.70,21
1987,Gigabyte,OC,1415.70,30
1988,Gigabyte,OC Rev 2.0,1415.70,10
1989,Gigabyte,WINDFORCE,1501.50,52
1990,Gigabyte,WINDFORCE OC,1444.30,100
1991,Gigabyte,WINDFORCE OC Rev 2.0,1501.50,75
1992,Gigabyte,WINDFORCE Rev 2.0,1573.00,33
1993,Gigabyte,XTREME Rev 2.0,1358.50,92
1994,Inno3D,Twin X2,1487.20,99
1995,KFA2,26NRL7HPX7OK,1387.10,88
1996,KFA2,60NRJ7DSX1PK,1544.40,79
1997,MSI,AERO ITX,1444.30,64
1998,MSI,AERO ITX OC,1472.90,97
1999,MSI,GAMING,1458.60,55
2000,MSI,GAMING Z,1544.40,91
2001,MSI,VENTUS,1544.40,51
2002,MSI,VENTUS OC,1544.40,22
2003,MSI,VENTUS XS OC,1573.00,98
2004,NVIDIA,Founders Edition,1401.40,11
2005,Palit,GamingPro,1387.10,50
2006,Palit,GamingPro OC,1458.60,82
2007,Palit,StormX,1558.70,75
2008,Palit,StormX OC,1415.70,63
2009,PNY,Blower,1530.10,1
2010,PNY,XLR8 Gaming Overclocked Edition,1458.60,16
2011,Zotac,GAMING,1372.80,36
2012,Zotac,GAMING AMP,1515.80,84
2013,Asus,DUAL EVO,1713.60,59
2014,Asus,DUAL EVO Advanced,1629.60,10
2015,Asus,DUAL EVO OC,1848.00,19
2016,Asus,DUAL EVO OC V2,1612.80,54
2017,Asus,STRIX GAMING Advanced,1831.20,55
2018,Asus,STRIX GAMING OC,1780.80,90
2019,Asus,Turbo EVO,1747.20,55
2020,EVGA,SC BLACK GAMING,1663.20,40
