id,power_supply_standard,max_motherboard_size,type,side_panel_window,product_fk
1,ATX,Mini ITX,Mini ITX Tower,Metal,2773
2,ATX,Mini ITX,Mini ITX Tower,Metal,2774
3,ATX,Mini ITX,Mini ITX Tower,Metal,2775
4,ATX,Mini ITX,Mini ITX Tower,Metal,2776
5,ATX,Mini ITX,Mini ITX Tower,Metal,2777
6,ATX,Mini ITX,Mini ITX Tower,Metal,2778
7,ATX,Mini ITX,Mini ITX Tower,Metal,2779
8,ATX,Mini ITX,Mini ITX Tower,Szkło hartowane,2780
9,ATX,Mini ITX,Mini ITX Tower,Szkło hartowane,2781
10,ATX,Mini ITX,Mini ITX Tower,Szkło hartowane,2782
11,ATX,Mini ITX,Mini ITX Tower,Szkło hartowane,2783
12,ATX,Mini ITX,Mini ITX Tower,Akryl,2784
13,ATX,Mini ITX,Mini ITX Tower,Przyciemniane szkło hartowane,2785
14,ATX,Mini ITX,Mini ITX Tower,Przyciemniane szkło hartowane,2786
15,ATX,Mini ITX,Mini ITX Tower,Szkło hartowane,2787
16,ATX,Mini ITX,Mini ITX Tower,Szkło hartowane,2788
17,ATX,Mini ITX,Mini ITX Tower,Szkło hartowane,2789
18,ATX,Mini ITX,Mini ITX Desktop,Metal,2790
19,ATX,Mini ITX,Mini ITX Desktop,Szkło hartowane,2791
20,ATX,Mini ITX,Mini ITX Desktop,Metal,2792
21,ATX,Mini ITX,Mini ITX Desktop,Metal,2793
22,ATX,Mini ITX,Mini ITX Desktop,Metal,2794
23,ATX,Mini ITX,Mini ITX Desktop,Akryl,2795
24,ATX,Mini ITX,Mini ITX Desktop,Przyciemniane szkło hartowane,2796
25,ATX,Mini ITX,Mini ITX Desktop,Metal,2797
26,ATX,Mini ITX,Mini ITX Desktop,Szkło hartowane,2798
27,ATX,Mini ITX,Mini ITX Desktop,Przyciemniane szkło hartowane,2799
28,ATX,Mini ITX,Mini ITX Desktop,Metal,2800
29,ATX,Mini ITX,Mini ITX Desktop,Akryl,2801
30,ATX,MicroATX,MicroATX Mini Tower,Metal,2802
31,ATX,MicroATX,MicroATX Mini Tower,Metal,2803
32,ATX,MicroATX,MicroATX Mini Tower,Szkło hartowane,2804
33,ATX,MicroATX,MicroATX Mini Tower,Akryl,2805
34,ATX,MicroATX,MicroATX Mini Tower,Akryl,2806
35,ATX,MicroATX,MicroATX Mini Tower,Akryl,2807
36,ATX,MicroATX,MicroATX Mini Tower,Metal,2808
37,ATX,MicroATX,MicroATX Mini Tower,Metal,2809
38,ATX,MicroATX,MicroATX Mini Tower,Metal,2810
39,ATX,MicroATX,MicroATX Mini Tower,Akryl,2811
40,ATX,MicroATX,MicroATX Mini Tower,Przyciemniane szkło hartowane,2812
41,ATX,MicroATX,MicroATX Mini Tower,Akryl,2813
42,ATX,MicroATX,MicroATX Mini Tower,Akryl,2814
43,ATX,MicroATX,MicroATX Mini Tower,Przyciemniane szkło hartowane,2815
44,ATX,MicroATX,MicroATX Mini Tower,Akryl,2816
45,ATX,MicroATX,MicroATX Mini Tower,Akryl,2817
46,ATX,MicroATX,MicroATX Mini Tower,Szkło hartowane,2818
47,ATX,MicroATX,MicroATX Mini Tower,Szkło hartowane,2819
48,ATX,MicroATX,MicroATX Mini Tower,Metal,2820
49,ATX,MicroATX,MicroATX Mini Tower,Szkło hartowane,2821
50,ATX,MicroATX,MicroATX Mid Tower,Akryl,2822
51,ATX,MicroATX,MicroATX Mid Tower,Szkło hartowane,2823
52,ATX,MicroATX,MicroATX Mid Tower,Szkło hartowane,2824
53,ATX,MicroATX,MicroATX Mid Tower,Szkło hartowane,2825
54,ATX,MicroATX,MicroATX Mid Tower,Szkło hartowane,2826
55,ATX,MicroATX,MicroATX Mid Tower,Metal,2827
56,ATX,MicroATX,MicroATX Mid Tower,Szkło hartowane,2828
57,ATX,MicroATX,MicroATX Mid Tower,Szkło hartowane,2829
58,ATX,MicroATX,MicroATX Mid Tower,Metal,2830
