id,tier,form_factor,efficiency_rating,wattage,modular,product_fk
115,0.7,ATX,80+ Platinum,660,Modularny,3237
116,3,ATX,80+ Gold,650,Niemodularny,3238
117,1.7,ATX,80+ Gold,850,Modularny,3239
118,1.7,ATX,80+ Gold,750,Modularny,3240
119,3,ATX,80+ Bronze,450,Niemodularny,3241
120,3,ATX,80+ Bronze,650,Niemodularny,3242
121,3,ATX,80+ Bronze,550,Niemodularny,3243
122,0.7,ATX,80+ Gold,750,Modularny,3244
123,0.7,ATX,80+ Gold,650,Modularny,3245
124,0.7,ATX,80+ Gold,550,Modularny,3246
125,2,ATX,80+ Gold,650,Niemodularny,3247
126,2,ATX,80+ Gold,650,Pół modularny,3248
127,2,ATX,80+ Gold,500,Pół modularny,3249
128,0.7,ATX,80+ Gold,750,Modularny,3250
129,0.7,ATX,80+ Gold,650,Modularny,3251
130,0.7,ATX,80+ Gold,550,Modularny,3252
131,0.7,ATX,80+ Gold,850,Modularny,3253
132,0.7,ATX,80+ Gold,650,Pół modularny,3254
133,0.7,ATX,80+ Gold,750,Pół modularny,3255
134,0.7,ATX,80+ Gold,450,Pół modularny,3256
135,0.7,ATX,80+ Gold,650,Modularny,3257
136,0.7,ATX,80+ Gold,750,Modularny,3258
137,0.7,ATX,80+ Gold,550,Modularny,3259
138,0.8,ATX,80+ Platinum,650,Modularny,3260
139,0.8,ATX,80+ Platinum,550,Modularny,3261
140,0.8,ATX,80+ Platinum,850,Modularny,3262
141,1,SFX,80+ Gold,650,Modularny,3263
142,1,SFX,80+ Gold,500,Modularny,3264
143,1,SFX,80+ Gold,450,Modularny,3265
144,0.7,ATX,80+ Gold,850,Modularny,3266
145,0.7,ATX,80+ Gold,750,Modularny,3267
146,0.7,ATX,80+ Gold,650,Modularny,3268
147,0.8,ATX,80+ Platinum,450,Modularny,3269
148,0.7,ATX,80+ Gold,1200,Modularny,3270
149,0.7,ATX,80+ Gold,750,Modularny,3271
150,0.8,ATX,80+ Platinum,850,Modularny,3272
151,0.8,ATX,80+ Platinum,750,Modularny,3273
152,0.8,ATX,80+ Titanium,600,Modularny,3274
153,0.8,ATX,80+ Titanium,750,Modularny,3275
154,0.8,ATX,80+ Titanium,650,Modularny,3276
155,0.8,ATX,80+ Platinum,550,Modularny,3277
156,0.8,ATX,80+ Titanium,750,Modularny,3278
157,0.8,ATX,80+ Titanium,650,Modularny,3279
158,4.3,ATX,80+ Bronze,650,Niemodularny,3280
159,4.3,ATX,80+ Bronze,500,Niemodularny,3281
160,4.3,ATX,80+ Bronze,550,Niemodularny,3282
161,1.3,ATX,80+ Gold,750,Modularny,3283
162,1.3,ATX,80+ Gold,650,Modularny,3284
163,3,ATX,80+ Gold,650,Niemodularny,3285
164,3,ATX,80+ Gold,550,Niemodularny,3286
165,4.3,ATX,80+ Bronze,500,Niemodularny,3287
166,2,ATX,80+ Gold,650,Niemodularny,3288
167,2,ATX,80+ Bronze,750,Niemodularny,3289
168,1,SFX,80+ Platinum,450,Modularny,3290
169,0.7,SFX,80+ Titanium,800,Modularny,3291
170,1,SFX,80+ Gold,500,Modularny,3292
171,0.8,SFX,80+ Platinum,700,Modularny,3293
172,2,SFX,80+ Bronze,450,Niemodularny,3294
173,1,ATX,80+ Gold,1500,Modularny,3295
174,1.3,ATX,80+ Platinum,1000,Modularny,3296
175,1.3,ATX,80+ Platinum,1200,Modularny,3297
176,1.3,ATX,80+ Platinum,1000,Modularny,3298
177,4,ATX,80+ Titanium,1100,Modularny,3299
178,2,SFX,80+ Gold,700,Modularny,3300
179,4,SFX,80+ Platinum,1000,Modularny,3301
180,2,SFX,80+ Platinum,750,Modularny,3302
181,2,SFX,80+ Gold,500,Modularny,3303
182,2,SFX,80+ Platinum,700,Modularny,3304
183,0.8,ATX,80+ Gold,850,Modularny,3305
184,0.8,ATX,80+ Gold,750,Modularny,3306
185,0.8,ATX,80+ Gold,650,Modularny,3307
186,0.8,ATX,80+ Gold,550,Modularny,3308
187,4,ATX,80+,630,Niemodularny,3309
188,0.8,ATX,80+ Gold,750,Modularny,3310
189,0.8,ATX,80+ Gold,650,Modularny,3311
190,0.8,ATX,80+ Gold,500,Niemodularny,3312
191,1,ATX,80+ Platinum,1200,Modularny,3313
192,1,ATX,80+ Platinum,1050,Modularny,3314
193,3.3,SFX,80+ Gold,600,Modularny,3315
