id,speed,modules_count,module_capacity_gb,fw_latency_ns,cl,product_fk
289,4000,2,16,9.5,19,868
290,2666,4,16,12.003,16,869
291,3200,4,16,10,16,870
292,3200,2,32,10,16,871
293,4000,2,16,9.5,19,872
294,4266,2,16,7.97,17,873
295,4000,4,8,9,18,874
296,3200,2,32,10,16,875
297,2666,2,32,12.003,16,876
298,3000,4,8,10.667,16,877
299,3466,2,8,10.387,18,878
300,3200,2,32,13.75,22,879
301,3200,2,32,10,16,880
302,2800,4,16,10.714,15,881
303,2933,4,8,10.91,16,882
304,2666,4,8,12.003,16,883
305,3600,2,32,10,18,884
306,3600,2,32,10,18,885
307,2666,4,8,12.003,16,886
308,3200,2,32,10,16,887
309,2666,2,32,13.503,18,888
310,3000,4,16,10.667,16,889
311,3200,2,16,10,16,890
312,3733,2,4,9.108,17,891
313,3000,2,32,10.667,16,892
314,4000,4,8,9,18,893
315,3200,2,32,10,16,894
316,3733,2,16,9.108,17,895
317,4000,2,16,9,18,896
318,3600,4,8,10,18,897
319,3600,4,8,8.889,16,898
320,3200,2,32,10,16,899
321,3000,2,16,10,15,900
322,3200,2,16,9.375,15,901
323,3200,2,32,10,16,902
324,3200,2,32,10,16,903
325,4000,2,16,9,18,904
326,3600,2,16,9.444,17,905
327,3466,4,8,9.233,16,906
328,4000,4,8,9.5,19,907
329,4000,2,8,9.5,19,908
330,4000,2,4,9.5,19,909
331,2666,4,8,14.254,19,910
332,3600,4,8,10,18,911
333,3200,2,4,10,16,912
334,3600,2,16,10,18,913
335,4000,2,8,9,18,914
336,3866,2,8,9.312,18,915
337,3200,2,16,10,16,916
338,4266,2,8,7.97,17,917
339,3200,4,8,10,16,918
340,3300,4,8,9.697,16,919
341,3000,2,16,10.667,16,920
342,3200,2,32,13.75,22,921
343,2933,2,16,10.91,16,922
344,3466,2,8,9.233,16,923
345,3333,2,8,9.601,16,924
346,2666,1,32,14.254,19,925
347,3600,2,16,10,18,926
348,3466,2,16,9.233,16,927
349,3600,2,8,7.778,14,928
350,3466,2,16,9.233,16,929
351,3600,4,8,9.444,17,930
352,3000,4,8,10,15,931
353,3200,2,16,10,16,932
354,3000,2,16,10,15,933
355,3600,2,8,10,18,934
356,3000,2,16,10.667,16,935
357,4133,2,8,9.194,19,936
358,3600,4,8,8.889,16,937
359,2666,2,16,14.254,19,938
360,3600,4,8,10,18,939
361,3600,2,16,10,18,940
362,2666,2,16,14.254,19,941
363,3600,2,8,9.444,17,942
364,3600,4,8,10,18,943
365,3200,2,8,10,16,944
366,4266,2,8,8.908,19,945
367,4400,2,8,7.273,16,946
368,3200,2,16,10,16,947
369,3800,2,8,7.368,14,948
370,2666,4,8,13.503,18,949
371,3200,4,8,10,16,950
372,3000,2,16,10,15,951
373,3000,2,8,10,15,952
374,3200,4,8,10,16,953
375,4000,2,16,9,18,954
376,3200,4,8,10,16,955
377,3600,2,16,8.889,16,956
378,2933,2,16,10.91,16,957
379,3200,1,32,13.75,22,958
380,3600,2,16,10.556,19,959
381,3466,2,8,9.233,16,960
382,3466,4,8,9.233,16,961
383,4000,2,4,9.5,19,962
384,3200,4,8,10,16,963
385,4000,2,8,8.5,17,964
386,3466,4,8,9.233,16,965
387,3000,4,8,10,15,966
388,3200,4,8,10,16,967
389,3000,4,8,10.667,16,968
390,3600,4,8,10,18,969
391,2933,4,8,10.228,15,970
392,3000,4,8,10.667,16,971
393,3000,4,8,10,15,972
394,3600,4,8,10,18,973
395,2933,2,16,9.547,14,974
396,3200,2,16,10,16,975
397,3200,2,16,10,16,976
398,4266,2,8,8.908,19,977
399,2800,4,8,10.714,15,978
400,2666,4,8,12.003,16,979
401,2666,2,8,11.253,15,980
402,3000,2,16,10,15,981
403,3000,2,8,10,15,982
404,3600,2,16,9.444,17,983
405,4000,2,8,9,18,984
406,2800,2,16,10.714,15,985
407,3000,4,8,10.667,16,986
408,3600,2,16,10,18,987
409,3600,2,16,10.556,19,988
410,3000,4,8,10,15,989
411,3600,2,16,10,18,990
412,2666,4,8,12.003,16,991
413,3600,2,16,10,18,992
414,3200,2,16,10,16,993
415,3000,4,8,10,15,994
416,3200,4,8,10,16,995
417,3600,2,16,10,18,996
418,3000,1,16,10.667,16,997
419,3200,2,8,9.375,15,998
420,3600,2,4,10,18,999
421,4400,2,8,8.636,19,1000
422,3600,2,16,9.444,17,1001
423,4266,2,8,8.908,19,1002
424,4400,2,8,7.273,16,1003
425,2666,4,8,11.253,15,1004
426,3866,2,8,9.312,18,1005
427,3000,2,16,10.667,16,1006
428,3200,2,8,10,16,1007
429,3200,4,8,10,16,1008
430,3600,2,16,10,18,1009
431,3200,2,16,10,16,1010
432,2666,4,8,12.003,16,1011
433,3000,4,8,10,15,1012
434,3333,2,8,9.601,16,1013
435,3200,2,16,10,16,1014
436,2933,1,32,14.32,21,1015
437,3000,2,16,10.667,16,1016
438,3000,2,8,10.667,16,1017
439,3600,2,16,10,18,1018
440,4400,2,8,8.636,19,1019
441,3200,4,8,10,16,1020
442,2666,2,16,12.003,16,1021
443,3000,2,8,10.667,16,1022
444,3200,2,16,10,16,1023
445,3000,2,16,10,15,1024
446,3200,2,16,10,16,1025
447,3000,2,16,10.667,16,1026
448,3200,2,16,10,16,1027
449,3200,2,16,10,16,1028
450,3200,2,16,10,16,1029
451,3200,2,16,10,16,1030
452,3600,2,16,10,18,1031
453,3000,2,8,10.667,16,1032
454,3200,4,8,10,16,1033
455,3600,4,8,10,18,1034
456,3000,2,16,10,15,1035
457,3600,2,16,8.889,16,1036
458,2666,4,8,14.254,19,1037
459,4000,2,8,9.5,19,1038
460,2666,1,16,14.254,19,1039
461,3000,4,8,10,15,1040
462,3200,2,16,10,16,1041
463,2666,2,8,14.254,19,1042
464,3200,2,16,10,16,1043
465,3200,2,16,10,16,1044
466,3733,2,16,10.179,19,1045
467,3200,4,8,10,16,1046
468,2666,1,32,14.254,19,1047
469,2933,1,32,14.32,21,1048
470,3000,2,16,10.667,16,1049
471,2666,1,32,13.503,18,1050
472,3000,2,16,10.667,16,1051
473,3200,2,16,10,16,1052
474,2666,2,16,11.253,15,1053
475,3200,2,16,10,16,1054
476,2933,4,8,10.91,16,1055
477,2666,4,8,12.003,16,1056
478,3000,2,8,10,15,1057
479,4000,2,8,9,18,1058
480,4000,2,8,9,18,1059
481,3000,1,32,10.667,16,1060
482,3600,2,16,10,18,1061
483,3200,4,8,10,16,1062
484,2666,2,8,12.003,16,1063
485,3000,2,16,10,15,1064
486,3600,2,8,9.444,17,1065
487,2666,1,32,12.003,16,1066
488,4133,2,8,9.194,19,1067
489,3200,2,16,10,16,1068
490,3600,2,16,10,18,1069
491,3200,2,8,10,16,1070
492,2933,2,8,10.91,16,1071
493,3200,2,16,10,16,1072
494,2666,4,8,11.253,15,1073
495,2666,2,16,14.254,19,1074
496,2666,1,32,14.254,19,1075
497,3000,4,8,10.667,16,1076
498,3200,2,16,10,16,1077
499,2933,4,8,10.91,16,1078
500,2666,2,16,12.003,16,1079
501,2933,2,8,10.91,16,1080
502,3000,2,16,10.667,16,1081
503,3200,2,16,10,16,1082
504,3000,2,16,10.667,16,1083
505,3000,2,16,10,15,1084
506,4266,2,8,8.908,19,1085
507,3600,2,16,10.556,19,1086
508,3200,2,16,10,16,1087
509,3000,1,16,10.667,16,1088
510,3000,2,16,10.667,16,1089
511,3200,2,16,10,16,1090
512,2666,1,32,14.254,19,1091
513,2666,1,32,14.254,19,1092
514,3200,2,16,10,16,1093
515,4000,2,8,9,18,1094
516,4400,2,8,9.091,20,1095
517,4400,2,8,8.636,19,1096
518,3000,2,8,10.667,16,1097
519,3200,2,16,10,16,1098
520,2666,2,16,12.003,16,1099
521,2800,2,16,12.143,17,1100
522,2666,4,8,12.003,16,1101
523,3200,2,16,13.75,22,1102
524,2666,2,16,12.003,16,1103
525,3200,4,8,10,16,1104
526,4400,2,8,8.636,19,1105
527,3000,2,4,10.667,16,1106
528,2666,1,16,12.003,16,1107
529,4400,2,8,8.636,19,1108
530,3200,2,16,10,16,1109
531,3200,2,4,10,16,1110
532,3200,2,16,10,16,1111
533,3200,1,32,10,16,1112
534,2666,2,8,11.253,15,1113
535,2933,1,16,14.32,21,1114
536,3466,2,8,9.233,16,1115
537,3200,2,16,10,16,1116
538,3000,2,8,10,15,1117
539,3200,2,16,13.75,22,1118
540,3000,2,4,10,15,1119
541,3200,2,8,10,16,1120
542,3000,2,8,10.667,16,1121
543,4000,2,8,9,18,1122
544,4133,2,8,9.194,19,1123
545,3600,2,8,9.444,17,1124
546,3600,2,8,8.889,16,1125
547,3400,2,8,9.412,16,1126
548,3000,2,8,10,15,1127
549,4000,2,8,9,18,1128
550,3000,2,16,10.667,16,1129
551,3600,2,8,9.444,17,1130
552,4000,2,8,9.5,19,1131
553,3600,2,8,10,18,1132
554,4000,2,8,9.5,19,1133
555,2666,1,8,14.254,19,1134
556,3000,2,16,10,15,1135
557,3600,2,4,10,18,1136
558,3000,2,8,10,15,1137
559,4000,2,8,9.5,19,1138
560,3600,2,8,10,18,1139
561,4000,2,8,9,18,1140
562,2666,1,32,14.254,19,1141
563,4000,2,8,9.5,19,1142
564,3000,2,8,10.667,16,1143
565,2666,1,32,13.503,18,1144
566,3200,2,8,10,16,1145
567,3200,2,8,10,16,1146
568,3600,2,8,8.889,16,1147
569,4133,2,8,9.194,19,1148
570,3200,2,8,10,16,1149
571,2666,2,16,12.003,16,1150
572,3200,2,8,10,16,1151
573,4400,2,8,8.636,19,1152
574,4000,2,8,9.5,19,1153
575,3600,2,8,10,18,1154
576,3200,2,8,10,16,1155
577,3000,2,8,10,15,1156
578,3200,2,8,8.75,14,1157
579,3600,2,8,10,18,1158
580,4000,2,8,9.5,19,1159
581,3600,2,8,9.444,17,1160
582,3000,2,8,10.667,16,1161
583,3600,2,8,10,18,1162
584,2666,1,16,14.254,19,1163
585,3000,2,8,10,15,1164
586,4000,2,8,9,18,1165
587,3600,2,8,9.444,17,1166
588,3600,2,8,9.444,17,1167
589,3000,2,8,10.667,16,1168
590,3200,2,8,10,16,1169
591,3000,2,8,10.667,16,1170
592,3200,1,32,13.75,22,1171
593,4133,2,8,9.194,19,1172
594,3200,2,8,13.75,22,1173
595,3600,2,8,10,18,1174
596,3200,2,8,10,16,1175
597,3200,2,8,10,16,1176
598,3200,2,8,10,16,1177
599,2666,2,8,12.003,16,1178
600,3600,2,8,10,18,1179
601,3333,2,8,9.601,16,1180
602,3600,2,8,9.444,17,1181
603,2666,2,8,13.503,18,1182
604,3200,2,8,10,16,1183
605,3200,2,8,10,16,1184
606,2666,1,16,12.003,16,1185
607,3400,2,8,9.412,16,1186
