id,tier,form_factor,efficiency_rating,wattage,modular,product_fk
130,0.7,ATX,80+ Gold,550,Full,3252
131,0.7,ATX,80+ Gold,850,Full,3253
132,0.7,ATX,80+ Gold,650,Semi,3254
133,0.7,ATX,80+ Gold,750,Semi,3255
134,0.7,ATX,80+ Gold,450,Semi,3256
135,0.7,ATX,80+ Gold,650,Full,3257
136,0.7,ATX,80+ Gold,750,Full,3258
137,0.7,ATX,80+ Gold,550,Full,3259
138,0.8,ATX,80+ Platinum,650,Full,3260
139,0.8,ATX,80+ Platinum,550,Full,3261
140,0.8,ATX,80+ Platinum,850,Full,3262
141,1,SFX,80+ Gold,650,Full,3263
142,1,SFX,80+ Gold,500,Full,3264
143,1,SFX,80+ Gold,450,Full,3265
144,0.7,ATX,80+ Gold,850,Full,3266
145,0.7,ATX,80+ Gold,750,Full,3267
146,0.7,ATX,80+ Gold,650,Full,3268
147,0.8,ATX,80+ Platinum,450,Full,3269
148,0.7,ATX,80+ Gold,1200,Full,3270
149,0.7,ATX,80+ Gold,750,Full,3271
150,0.8,ATX,80+ Platinum,850,Full,3272
151,0.8,ATX,80+ Platinum,750,Full,3273
152,0.8,ATX,80+ Titanium,600,Full,3274
153,0.8,ATX,80+ Titanium,750,Full,3275
154,0.8,ATX,80+ Titanium,650,Full,3276
155,0.8,ATX,80+ Platinum,550,Full,3277
156,0.8,ATX,80+ Titanium,750,Full,3278
157,0.8,ATX,80+ Titanium,650,Full,3279
158,4.3,ATX,80+ Bronze,650,No,3280
159,4.3,ATX,80+ Bronze,500,No,3281
160,4.3,ATX,80+ Bronze,550,No,3282
161,1.3,ATX,80+ Gold,750,Full,3283
162,1.3,ATX,80+ Gold,650,Full,3284
163,3,ATX,80+ Gold,650,No,3285
164,3,ATX,80+ Gold,550,No,3286
165,4.3,ATX,80+ Bronze,500,No,3287
166,2,ATX,80+ Gold,650,No,3288
167,2,ATX,80+ Bronze,750,No,3289
168,1,SFX,80+ Platinum,450,Full,3290
169,0.7,SFX,80+ Titanium,800,Full,3291
170,1,SFX,80+ Gold,500,Full,3292
171,0.8,SFX,80+ Platinum,700,Full,3293
172,2,SFX,80+ Bronze,450,No,3294
173,1,ATX,80+ Gold,1500,Full,3295
174,1.3,ATX,80+ Platinum,1000,Full,3296
175,1.3,ATX,80+ Platinum,1200,Full,3297
176,1.3,ATX,80+ Platinum,1000,Full,3298
177,4,ATX,80+ Titanium,1100,Full,3299
178,2,SFX,80+ Gold,700,Full,3300
179,4,SFX,80+ Platinum,1000,Full,3301
180,2,SFX,80+ Platinum,750,Full,3302
181,2,SFX,80+ Gold,500,Full,3303
182,2,SFX,80+ Platinum,700,Full,3304
183,0.8,ATX,80+ Gold,850,Full,3305
184,0.8,ATX,80+ Gold,750,Full,3306
185,0.8,ATX,80+ Gold,650,Full,3307
186,0.8,ATX,80+ Gold,550,Full,3308
187,4,ATX,80+,630,No,3309
188,0.8,ATX,80+ Gold,750,Full,3310
189,0.8,ATX,80+ Gold,650,Full,3311
190,0.8,ATX,80+ Gold,500,No,3312
191,1,ATX,80+ Platinum,1200,Full,3313
192,1,ATX,80+ Platinum,1050,Full,3314
193,3.3,SFX,80+ Gold,600,Full,3315
